<<<<<<< HEAD
Name,Link,Image
MagicTrips,https://www.futurepedia.io/tool/magictrips,https://cdn2.futurepedia.io/2025-02-14T16-47-49.731Z-MiKqG6FGb0cnDuYqTItg-5Zp6xObTqyhs.blob?w=256
Monica,https://www.futurepedia.io/tool/monica,https://cdn2.futurepedia.io/c3dd8302a0646cd7300874d50b1bd7faf1ddf50d-128x128.svg?w=256
You,https://www.futurepedia.io/tool/you,https://cdn2.futurepedia.io/800aba9cfc169dc2c74691f78871c85bcc0bd941-128x128.png?w=256
Jigso,https://www.futurepedia.io/tool/jigso,https://cdn2.futurepedia.io/0dfc54659ad3ef025cecfb7e98cbbe6fbfe5956d-128x128.png?w=256
Dream Interpreter,https://www.futurepedia.io/tool/dream-interpreter,https://cdn2.futurepedia.io/7ce15166aee6adbbde244c2e69b10ad35bf1c4f8-512x512.svg?w=256
Notion AI,https://www.futurepedia.io/tool/notion-ai,https://cdn2.futurepedia.io/7880e27c47a972594c4d2fa715f74c9baf10cb32-512x512.png?w=256
timeOS,https://www.futurepedia.io/tool/timeos,https://cdn2.futurepedia.io/e75004002cf3b74ebf4fd8c0e896429c417620cc-256x256.svg?w=256
WatchNow AI,https://www.futurepedia.io/tool/watchnow-ai,https://cdn2.futurepedia.io/243dbf1012b2d79c470d0701a269050519a60fc8-200x200.png?w=256
Socratic by Google,https://www.futurepedia.io/tool/socratic-by-google,https://cdn2.futurepedia.io/8cf241e588bfab60bae383d6e538e243587ab5d0-32x32.svg?w=256
Casper AI,https://www.futurepedia.io/tool/casper-ai,https://cdn2.futurepedia.io/4d0881b9f8cf6e36b3405546056fcce5d8f37476-128x128.png?w=256
Microsoft Bing,https://www.futurepedia.io/tool/microsoft-bing,https://cdn2.futurepedia.io/6bdb82decf191c67b15f89daf3bb174f4d30c483-600x600.webp?w=256
Excel Formula Bot,https://www.futurepedia.io/tool/excel-formula-bot,https://cdn2.futurepedia.io/cf7320b0f714615b943bc3d11e295469748fb8d7-48x48.svg?w=256
MeetGeek,https://www.futurepedia.io/tool/meetgeek,https://cdn2.futurepedia.io/9522050e1c253f17f89298cced496a8fc35ef85d-128x128.png?w=256
